user,time,pattern
685,M,"(49, 38)"
685,M,"(49, 37)"
685,M,"(49, 40)"
685,M,"(18, 45)"
685,M,"(52, 39)"
685,M,"(42, 42)"
685,M,"(49, 31)"
685,M,"(51, 38)"
685,M,"(55, 38)"
685,M,"(49, 34)"
685,M,"(51, 40)"
685,M,"(52, 40)"
685,M,"(52, 6)"
685,M,"(34, 48)"
685,M,"(53, 40)"
685,M,"(38, 42)"
685,M,"(51, 35)"
685,M,"(48, 24)"
685,M,"(30, 52)"
685,M,"(50, 39)"
685,M,"(55, 34)"
685,M,"(53, 27)"
685,M,"(47, 38)"
685,M,"(55, 20)"
685,M,"(47, 38)"
685,M,"(51, 40)"
685,M,"(51, 42)"
685,M,"(46, 16)"
685,M,"(22, 50)"
685,M,"(52, 39)"
685,M,"(49, 40)"
685,M,"(47, 39)"
685,M,"(49, 31)"
685,M,"(18, 60)"
685,M,"(36, 61)"
685,M,"(44, 31)"
685,M,"(50, 43)"
685,A,"(51, 40)"
685,A,"(56, 41)"
685,A,"(51, 41)"
685,A,"(53, 38)"
685,A,"(53, 41)"
685,A,"(57, 41)"
685,A,"(49, 41)"
685,A,"(47, 34)"
685,A,"(51, 42)"
685,A,"(21, 21)"
685,E,"(57, 27)"
685,E,"(50, 39)"
685,E,"(58, 8)"
685,E,"(50, 33)"
685,E,"(20, 7)"
685,E,"(36, 31)"
685,E,"(53, 39)"
685,E,"(27, 64)"
685,E,"(46, 29)"
685,E,"(50, 40)"
685,E,"(54, 37)"
685,E,"(51, 36)"
685,E,"(55, 26)"
1805,M,"(16, 66)"
1805,M,"(22, 61)"
1805,M,"(3, 63)"
1805,M,"(14, 45)"
1805,M,"(3, 61)"
1805,M,"(10, 66)"
1805,M,"(10, 62)"
1805,M,"(13, 63)"
1805,M,"(14, 65)"
1805,M,"(11, 64)"
1805,M,"(16, 66)"
1805,M,"(9, 65)"
1805,M,"(12, 66)"
1805,M,"(33, 62)"
1805,M,"(11, 40)"
1805,M,"(12, 54)"
1805,A,"(26, 64)"
1805,A,"(25, 65)"
1805,A,"(10, 64)"
1805,A,"(32, 47)"
1805,A,"(24, 49)"
